DATE,GDP (Billions $),PCE Price Index,Personal Spending,Real GDP,Industrial Production,Retail Sales,Durable Good
2001-01-01,10470.231,74.932,6987.4,14183.12,91.902,247339,177056
2001-02-01,,75.048,7001.8,,91.3034,247289,180276
2001-03-01,,75.055,6996.7,,91.1162,244514,182209
2001-04-01,10599,75.187,7004.2,14271.694,90.7891,249113,171850
2001-05-01,,75.385,7052.8,,90.3555,250250,177749
2001-06-01,,75.518,7069.7,,89.8784,248836,176350
2001-07-01,10598.02,75.493,7082.3,14214.516,89.3028,247336,170129
2001-08-01,,75.484,7121.7,,89.2003,249590,170484
2001-09-01,,75.227,7007,,88.7485,243130,164123
2001-10-01,10660.465,75.492,7212.9,14253.574,88.5052,262862,171530
2001-11-01,,75.441,7182.3,,87.97,254084,163811
2001-12-01,,75.363,7166.7,,87.9324,249879,165304
2002-01-01,10783.5,75.431,7184.6,14372.785,88.5176,250603,163324
2002-02-01,,75.558,7225.2,,88.5278,252279,172406
2002-03-01,,75.763,7243.4,,89.1686,251542,167853
2002-04-01,10887.46,76.08,7312.5,14460.848,89.604,254543,171852
2002-05-01,,76.13,7288.9,,89.964,252390,171854
2002-06-01,,76.225,7322.5,,90.7061,253652,166070
2002-07-01,10984.04,76.393,7387.3,14519.633,90.6769,257339,174282
2002-08-01,,76.543,7412.6,,90.5762,259050,177126
2002-09-01,,76.681,7391.5,,90.6531,254081,166838
2002-10-01,11061.433,76.821,7435.2,14537.58,90.4643,256131,169134
2002-11-01,,76.897,7463.8,,90.9711,256350,170023
2002-12-01,,76.971,7519.9,,90.4652,259206,163962
2003-01-01,11174.129,77.201,7541.3,14614.141,91.2361,261394,169994
2003-02-01,,77.526,7548.6,,91.3445,257531,174113
2003-03-01,,77.725,7611.5,,91.1044,260566,172245
2003-04-01,11312.766,77.593,7634.5,14743.567,90.5617,261375,169347
2003-05-01,,77.504,7650.3,,90.537,261392,171542
2003-06-01,,77.588,7699.6,,90.6527,265331,173507
2003-07-01,11566.669,77.816,7757,14988.782,91.1185,267683,173320
2003-08-01,,78.079,7852.1,,90.9197,270612,173044
2003-09-01,,78.323,7853.7,,91.5059,270212,178690
2003-10-01,11772.234,78.333,7867.4,15162.76,91.6186,269060,183704
2003-11-01,,78.432,7922.6,,92.2329,270161,181685
2003-12-01,,78.605,7950.4,,92.2602,271550,181513
2004-01-01,11923.447,78.909,8007.1,15248.68,92.4006,272465,178696
2004-02-01,,79.077,8040.4,,92.958,274360,181662
2004-03-01,,79.199,8098.8,,92.5861,279692,190869
2004-04-01,12112.815,79.346,8107.2,15366.85,92.93,277625,184368
2004-05-01,,79.604,8176.5,,93.6013,281281,183459
2004-06-01,,79.831,8157.6,,92.871,279141,185640
2004-07-01,12305.307,79.905,8236.9,15512.619,93.5649,281350,186835
2004-08-01,,79.946,8271.6,,93.6277,281006,183728
2004-09-01,,80.104,8341.5,,93.7467,286866,188444
2004-10-01,12527.214,80.448,8397.1,15670.88,94.5465,287700,185187
2004-11-01,,80.758,8444.5,,94.7813,289679,192545
2004-12-01,,80.801,8504.4,,95.5365,293401,193578
2005-01-01,12767.286,80.907,8497.7,15844.727,95.8801,290111,194875
2005-02-01,,81.132,8559.1,,96.5761,293710,196475
2005-03-01,,81.375,8598.4,,96.4456,294743,186608
2005-04-01,12922.656,81.603,8678.4,15922.782,96.6532,297153,194847
2005-05-01,,81.649,8671.6,,96.7402,295314,206623
2005-06-01,,81.7,8753.4,,97.1753,305083,210020
2005-07-01,13142.642,82.046,8853.8,16047.587,96.8676,307320,194475
2005-08-01,,82.377,8850.1,,97.1833,303216,204839
2005-09-01,,83.172,8900.4,,95.3005,304187,203997
2005-10-01,13324.204,83.305,8938.5,16136.734,96.4572,303989,209901
2005-11-01,,83.131,8946.2,,97.5414,306566,220733
2005-12-01,,83.131,8981.1,,98.0452,306723,221499
2006-01-01,13599.16,83.534,9071.6,16353.835,98.1999,315566,209540
2006-02-01,,83.584,9096,,98.2413,313440,219738
2006-03-01,,83.746,9132.9,,98.4628,314471,227188
2006-04-01,13753.424,84.135,9191.6,16396.151,98.7618,316094,214625
2006-05-01,,84.361,9231.8,,98.7869,314919,215819
2006-06-01,,84.569,9259.6,,99.0997,316978,221220
2006-07-01,13870.188,84.858,9343.8,16420.738,99.0489,317984,209494
2006-08-01,,85.125,9342.2,,99.4836,318802,210473
2006-09-01,,84.902,9375.4,,99.3183,316400,234701
2006-10-01,14039.56,84.702,9393.6,16561.866,99.2044,316145,216952
2006-11-01,,84.731,9400.2,,99.1627,317123,224809
2006-12-01,,85.032,9488.3,,100.1735,320312,229243
2007-01-01,14215.651,85.316,9538.7,16611.69,99.8346,320305,222969
2007-02-01,,85.581,9566,,100.7753,321434,220962
2007-03-01,,85.894,9611.7,,100.9547,323708,229526
2007-04-01,14402.082,86.096,9643.6,16713.314,101.6334,322878,233420
2007-05-01,,86.346,9685.8,,101.7306,327266,228836
2007-06-01,,86.529,9706.8,,101.7893,324076,228868
2007-07-01,14564.117,86.661,9751.1,16809.587,101.6672,325455,233176
2007-08-01,,86.72,9798.9,,101.863,327444,235758
2007-09-01,,87.054,9845.1,,102.0894,328668,226473
2007-10-01,14715.058,87.318,9882.7,16915.191,101.8015,330544,230700
2007-11-01,,87.781,9955.9,,102.3446,334021,227005
2007-12-01,,87.984,9972.8,,102.3803,329259,244443
2008-01-01,14706.538,88.206,9996.4,16843.003,102.2448,330478,239389
2008-02-01,,88.382,9981.7,,101.8438,327869,235037
2008-03-01,,88.635,10035.3,,101.5336,328493,234868
2008-04-01,14865.701,88.799,10070.3,16943.291,100.8785,328037,231086
2008-05-01,,89.18,10132.3,,100.2674,331088,227370
2008-06-01,,89.827,10187.1,,100.0335,331764,229262
2008-07-01,14898.999,90.245,10185.1,16854.295,99.676,330301,220411
2008-08-01,,90.172,10175.7,,98.1111,327296,214106
2008-09-01,,90.247,10116.4,,93.7895,321568,215245
2008-10-01,14608.209,89.651,10034.1,16485.35,94.7219,308968,191912
2008-11-01,,88.593,9885.2,,93.4715,295396,181552
2008-12-01,,88.098,9801.5,,90.8357,287571,173849
2009-01-01,14430.902,88.108,9847.2,16298.262,88.57,292449,151085
2009-02-01,,88.266,9824.5,,88.031,291429,148834
2009-03-01,,88.169,9773.2,,86.6528,286022,146323
2009-04-01,14381.236,88.295,9772.5,16269.145,85.9344,287530,147467
2009-05-01,,88.387,9791.6,,85.0665,290215,149255
2009-06-01,,88.912,9852.4,,84.7459,295458,147033
2009-07-01,14448.882,88.922,9886.3,16326.281,85.7027,296928,153691
2009-08-01,,89.18,10004.1,,86.6426,302871,157489
2009-09-01,,89.324,9927.8,,87.4063,294449,158041
2009-10-01,14651.249,89.663,9976.7,16502.754,87.6419,298067,161097
2009-11-01,,89.887,9985.7,,88.0221,300583,160419
2009-12-01,,89.939,10052.6,,88.3793,301959,160520
2010-01-01,14764.61,90.136,10056.1,16582.71,89.3426,302325,181016
2010-02-01,,90.134,10093.4,,89.6779,302310,180450
2010-03-01,,90.261,10156,,90.2928,309525,182148
2010-04-01,14980.193,90.31,10182.3,16743.162,90.5991,312143,182948
2010-05-01,,90.339,10210.8,,91.823,309158,189932
2010-06-01,,90.301,10231.3,,91.9928,308588,185667
2010-07-01,15141.607,90.378,10268.1,16872.266,92.3421,309543,187506
2010-08-01,,90.502,10307.1,,92.6805,310761,191745
2010-09-01,,90.592,10327.1,,92.9537,313785,201932
2010-10-01,15309.474,90.881,10386.4,16960.864,92.6903,317699,193066
2010-11-01,,91.062,10433.6,,92.7709,320695,197202
2010-12-01,,91.268,10471,,93.6787,323421,193452
2011-01-01,15351.448,91.542,10514.3,16920.632,93.4814,325674,203636
2011-02-01,,91.797,10540.6,,93.1102,328049,196393
2011-03-01,,92.166,10619.7,,94.0788,331161,212748
2011-04-01,15557.539,92.557,10652.1,17035.114,93.7749,333189,200733
2011-05-01,,92.838,10672.2,,93.888,332409,207170
2011-06-01,,92.819,10694.8,,94.172,335108,201579
2011-07-01,15647.68,92.977,10731.6,17031.313,94.636,334922,206458
2011-08-01,,93.196,10750.3,,95.2749,335163,216705
2011-09-01,,93.327,10783.2,,95.1961,339011,204738
2011-10-01,15842.259,93.329,10802.9,17222.583,95.8568,341058,210799
2011-11-01,,93.52,10806.8,,95.8485,342214,215531
2011-12-01,,93.574,10817.8,,96.3571,343093,223835
2012-01-01,16068.805,93.894,10896.8,17367.01,96.9318,345656,226295
2012-02-01,,94.104,10987.2,,97.2435,350345,226783
2012-03-01,,94.284,10993.9,,96.74,351748,221729
2012-04-01,16207.115,94.408,11018.5,17444.525,97.4359,349722,218445
2012-05-01,,94.302,11006.8,,97.6609,349064,219486
2012-06-01,,94.254,10989.8,,97.6663,345339,217930
2012-07-01,16319.541,94.288,11016.8,17469.65,97.8713,346936,222851
2012-08-01,,94.605,11056,,97.4525,351782,200405
2012-09-01,,94.893,11105.3,,97.381,354575,216864
2012-10-01,16420.419,95.174,11137.4,17489.852,97.7193,354747,218355
2012-11-01,,95.109,11178.4,,98.0777,356158,217176
2012-12-01,,95.094,11181.2,,98.3101,357519,231169
2013-01-01,16648.189,95.275,11252.4,17662.4,98.3342,360257,223063
2013-02-01,,95.614,11290.5,,98.7941,365227,234445
2013-03-01,,95.488,11290.1,,99.1921,362148,217480
2013-04-01,16728.687,95.391,11281.1,17709.671,99.1065,360499,226467
2013-05-01,,95.461,11321.6,,99.1839,362842,236942
2013-06-01,,95.673,11344.4,,99.3897,364181,246567
2013-07-01,16953.838,95.792,11372.6,17860.45,99.0814,366243,220831
2013-08-01,,95.934,11406.6,,99.6543,365543,224721
2013-09-01,,95.976,11445.9,,100.161,365668,237493
2013-10-01,17192.019,96.103,11498,18016.147,100.082,366444,231736
2013-11-01,,96.246,11562.5,,100.3158,366868,243831
2013-12-01,,96.414,11593.2,,100.5175,369499,238481
2014-01-01,17197.738,96.614,11578.8,17953.974,100.1599,366684,224538
2014-02-01,,96.66,11636.9,,100.9168,371335,231380
2014-03-01,,96.815,11722.3,,101.8942,375285,235485
2014-04-01,17518.508,96.987,11762.3,18185.911,101.9928,379432,237317
2014-05-01,,97.147,11807.3,,102.3836,379787,234459
2014-06-01,,97.253,11861.7,,102.735,380618,237501
2014-07-01,17804.228,97.391,11904.4,18406.941,102.9632,381045,300114
2014-08-01,,97.379,11983.7,,102.7688,384017,236400
2014-09-01,,97.413,11991.4,,103.0641,382277,236112
2014-10-01,17912.079,97.384,12064.7,18500.031,103.0764,383323,233072
2014-11-01,,97.291,12083.9,,103.7126,384459,228727
2014-12-01,,97.12,12096.1,,103.7044,380682,225104
2015-01-01,18063.529,96.654,12066.7,18666.621,102.8905,378518,225739
2015-02-01,,96.825,12116.6,,102.2335,377594,217321
2015-03-01,,97.008,12176.1,,101.8914,383681,230136
2015-04-01,18279.784,97.094,12209.1,18782.243,101.3355,383893,225656
2015-05-01,,97.327,12275.4,,100.8883,387155,218316
2015-06-01,,97.516,12307.9,,100.571,387199,228948
2015-07-01,18401.626,97.605,12364.9,18857.418,101.2228,390953,228347
2015-08-01,,97.612,12396.2,,101.0367,390570,222335
2015-09-01,,97.477,12386.4,,100.7547,388551,217744
2015-10-01,18435.137,97.477,12394.9,18892.206,100.2675,387066,226517
2015-11-01,,97.538,12423.2,,99.5298,388530,224319
2015-12-01,,97.456,12452,,99.0417,389551,217570
2016-01-01,18525.933,97.496,12478,19001.69,99.5607,387483,228982
2016-02-01,,97.445,12554.5,,99.0445,390029,216792
2016-03-01,,97.673,12537,,98.3096,388998,218388
2016-04-01,18711.702,97.993,12611.5,19062.709,98.6421,391112,229837
2016-05-01,,98.153,12652.7,,98.4184,392299,223117
2016-06-01,,98.325,12731.2,,98.8833,397113,206910
2016-07-01,18892.639,98.342,12756.7,19197.938,98.9992,396545,216155
2016-08-01,,98.479,12788.1,,98.85,396293,217584
2016-09-01,,98.666,12846.6,,98.7457,398797,217396
2016-10-01,19089.379,98.868,12867,19304.352,98.7611,399637,233461
2016-11-01,,98.901,12893,,98.3491,398680,216353
2016-12-01,,99.071,13005.9,,99.0214,405114,219525
2017-01-01,19280.084,99.451,13063.7,19398.343,98.7611,408269,219277
2017-02-01,,99.586,13088.4,,98.3646,408155,221514
2017-03-01,,99.535,13139.9,,99.0137,407630,222944
2017-04-01,19438.643,99.725,13169.2,19506.949,100.0224,409134,224150
2017-05-01,,99.682,13171.9,,100.1408,406609,222292
2017-06-01,,99.766,13225.2,,100.3471,409067,236980
2017-07-01,19692.595,99.803,13263.3,19660.766,100.1068,409113,217739
2017-08-01,,100.027,13294.6,,99.6925,409606,221312
2017-09-01,,100.4,13417.3,,99.7954,419021,228782
2017-10-01,20037.088,100.531,13447.5,19882.352,101.0247,418999,228333
2017-11-01,,100.675,13540.6,,101.2664,423224,230235
2017-12-01,,100.821,13666.1,,101.4644,425545,241711
2018-01-01,20328.553,101.199,13703.3,20044.077,101.4625,423202,228219
2018-02-01,,101.416,13738.7,,101.7085,425507,236950
2018-03-01,,101.524,13793.2,,102.2067,425087,244343
2018-04-01,20580.912,101.766,13838.4,20150.476,103.3329,425899,243872
2018-05-01,,101.941,13905,,102.4024,432340,243168
2018-06-01,,102.029,13930.4,,103.198,430008,243778
2018-07-01,20798.73,102.137,13974.8,20276.154,103.3646,432070,235786
2018-08-01,,102.208,14014,,104.0327,432031,245657
2018-09-01,,102.418,14017.8,,104.1004,431438,247957
2018-10-01,20917.867,102.595,14083.1,20304.874,103.9856,435894,238903
2018-11-01,,102.63,14162.9,,104.0681,438612,235930
2018-12-01,,102.701,14051.6,,104.0936,428932,243401
2019-01-01,21111.6,102.648,14084.6,20431.641,103.4021,430246,236180
2019-02-01,,102.836,14117.4,,102.8371,431194,231710
2019-03-01,,103.069,14248.6,,102.8757,438196,240465
2019-04-01,21397.938,103.36,14290,20602.275,102.274,437735,232744
2019-05-01,,103.435,14353.3,,102.392,442514,224565
2019-06-01,,103.484,14408.7,,102.4375,442116,224890
2019-07-01,21717.171,103.622,14496,20843.322,101.9408,445304,228956
2019-08-01,,103.67,14558.2,,102.639,448519,230355
2019-09-01,,103.733,14590.6,,102.2917,444555,226791
2019-10-01,21933.217,103.917,14617.4,20985.448,101.4281,445627,226218
2019-11-01,,104.024,14711,,101.9372,449040,218719
2019-12-01,,104.307,14774.8,,101.7003,449643,222265
2020-01-01,21751.238,104.49,14868.3,20709.212,101.0338,447774,233656
2020-02-01,,104.573,14828.1,,101.3735,447972,240355
2020-03-01,,104.271,13812.8,,97.4078,420954,204710
2020-04-01,19958.291,103.838,12249.2,19077.992,84.5619,370296,165166
2020-05-01,,103.942,13281.5,,85.9604,437957,184417
2020-06-01,,104.27,14049.2,,91.5934,465800,202777
2020-07-01,21704.437,104.578,14307.2,20558.879,95.0256,471873,223750
2020-08-01,,104.87,14462.2,,95.9549,473696,226872
2020-09-01,,105.057,14668.1,,95.9669,482702,230481
2020-10-01,22087.16,105.151,14725.8,20791.917,96.7394,480763,236338
2020-11-01,,105.258,14701.6,,97.0816,478079,237115
2020-12-01,,105.699,14822,,98.363,485949,241814
