DATE,CPI (Inflation),Unemployment Rate,Nonfarm Payrolls,Total job openings,Initial Claim,Labor force participation rate,Average hourly Earning
1/1/01,175.6,4.2,132703,5234,,67.2,
1/6/01,,,,,337000,,
1/13/01,,,,,318000,,
1/20/01,,,,,343000,,
1/27/01,,,,,362000,,
2/1/01,176,4.2,132788,5097,,67.1,
2/3/01,,,,,376000,,
2/10/01,,,,,365000,,
2/17/01,,,,,358000,,
2/24/01,,,,,386000,,
3/1/01,176.1,4.3,132751,4762,,67.2,
3/3/01,,,,,384000,,
3/10/01,,,,,393000,,
3/17/01,,,,,393000,,
3/24/01,,,,,378000,,
3/31/01,,,,,388000,,
4/1/01,176.4,4.4,132457,4615,,66.9,
4/7/01,,,,,398000,,
4/14/01,,,,,383000,,
4/21/01,,,,,400000,,
4/28/01,,,,,406000,,
5/1/01,177.3,4.3,132409,4425,,66.7,
5/5/01,,,,,381000,,
5/12/01,,,,,390000,,
5/19/01,,,,,402000,,
5/26/01,,,,,405000,,
6/1/01,177.7,4.5,132299,4361,,66.7,
6/2/01,,,,,406000,,
6/9/01,,,,,411000,,
6/16/01,,,,,394000,,
6/23/01,,,,,381000,,
6/30/01,,,,,394000,,
7/1/01,177.4,4.6,132171,4447,,66.8,
7/7/01,,,,,401000,,
7/14/01,,,,,405000,,
7/21/01,,,,,398000,,
7/28/01,,,,,388000,,
8/1/01,177.4,4.9,132021,4024,,66.5,
8/4/01,,,,,401000,,
8/11/01,,,,,394000,,
8/18/01,,,,,402000,,
8/25/01,,,,,395000,,
9/1/01,178.1,5,131763,4071,402000,66.8,
9/8/01,,,,,408000,,
9/15/01,,,,,395000,,
9/22/01,,,,,453000,,
9/29/01,,,,,517000,,
10/1/01,177.6,5.3,131452,3707,,66.7,
10/6/01,,,,,476000,,
10/13/01,,,,,482000,,
10/20/01,,,,,482000,,
10/27/01,,,,,483000,,
11/1/01,177.5,5.5,131144,3775,,66.7,
11/3/01,,,,,440000,,
11/10/01,,,,,428000,,
11/17/01,,,,,431000,,
11/24/01,,,,,491000,,
12/1/01,177.4,5.7,130983,3677,465000,66.7,
12/8/01,,,,,393000,,
12/15/01,,,,,389000,,
12/22/01,,,,,416000,,
12/29/01,,,,,421000,,
1/1/02,177.7,5.7,130859,3699,,66.5,
1/5/02,,,,,397000,,
1/12/02,,,,,418000,,
1/19/02,,,,,405000,,
1/26/02,,,,,414000,,
2/1/02,178,5.7,130736,3436,,66.8,
2/2/02,,,,,404000,,
2/9/02,,,,,397000,,
2/16/02,,,,,397000,,
2/23/02,,,,,398000,,
3/1/02,178.5,5.7,130722,3612,,66.6,
3/2/02,,,,,392000,,
3/9/02,,,,,399000,,
3/16/02,,,,,392000,,
3/23/02,,,,,415000,,
3/30/02,,,,,479000,,
4/1/02,179.3,5.9,130615,3471,,66.7,
4/6/02,,,,,445000,,
4/13/02,,,,,442000,,
4/20/02,,,,,416000,,
4/27/02,,,,,414000,,
5/1/02,179.5,5.8,130632,3457,,66.7,
5/4/02,,,,,409000,,
5/11/02,,,,,413000,,
5/18/02,,,,,411000,,
5/25/02,,,,,403000,,
6/1/02,179.6,5.8,130673,3412,378000,66.6,
6/8/02,,,,,388000,,
6/15/02,,,,,396000,,
6/22/02,,,,,388000,,
6/29/02,,,,,386000,,
7/1/02,180,5.8,130583,3367,,66.5,
7/6/02,,,,,391000,,
7/13/02,,,,,384000,,
7/20/02,,,,,379000,,
7/27/02,,,,,390000,,
8/1/02,180.5,5.7,130582,3517,,66.6,
8/3/02,,,,,388000,,
8/10/02,,,,,389000,,
8/17/02,,,,,399000,,
8/24/02,,,,,398000,,
8/31/02,,,,,394000,,
9/1/02,180.8,5.7,130503,3301,,66.7,
9/7/02,,,,,416000,,
9/14/02,,,,,412000,,
9/21/02,,,,,401000,,
9/28/02,,,,,409000,,
10/1/02,181.2,5.7,130617,3479,,66.6,
10/5/02,,,,,404000,,
10/12/02,,,,,405000,,
10/19/02,,,,,412000,,
10/26/02,,,,,409000,,
11/1/02,181.5,5.9,130616,3514,,66.4,
11/2/02,,,,,405000,,
11/9/02,,,,,400000,,
11/16/02,,,,,389000,,
11/23/02,,,,,390000,,
11/30/02,,,,,377000,,
12/1/02,181.8,6,130465,3169,,66.3,
12/7/02,,,,,425000,,
12/14/02,,,,,429000,,
12/21/02,,,,,394000,,
12/28/02,,,,,409000,,
1/1/03,182.6,5.8,130573,3441,,66.4,
1/4/03,,,,,393000,,
1/11/03,,,,,378000,,
1/18/03,,,,,402000,,
1/25/03,,,,,407000,,
2/1/03,183.6,5.9,130441,3229,413000,66.4,
2/8/03,,,,,390000,,
2/15/03,,,,,420000,,
2/22/03,,,,,421000,,
3/1/03,183.9,5.9,130235,3099,436000,66.3,
3/8/03,,,,,424000,,
3/15/03,,,,,430000,,
3/22/03,,,,,411000,,
3/29/03,,,,,436000,,
4/1/03,183.2,6,130172,3108,,66.4,
